student_id,gender,age,attendance_rate,study_hours_weekly,previous_grades,assignment_completion,class_participation,extra_curricular,library_visits,online_resource_hours,parent_education,family_income,internet_access,tutoring,mentor_support,stress_level,motivation_score,final_grade,performance_category,pass_fail
1,Male,20,59.33,2.1,66.64,51.49,5.0,Yes,0,10.6,Master,Medium,Yes,No,No,5.1,7.1,96.53,Excellent,Pass
2,Female,15,98.65,0.5,94.51,34.0,6.0,Yes,6,12.0,Bachelor,Low,Yes,Yes,No,1.1,9.8,111.81,Excellent,Pass
3,Male,23,52.05,6.4,86.85,54.01,9.5,No,2,18.7,High School,High,Yes,Yes,No,4.6,5.3,91.96,Excellent,Pass
4,Male,15,81.59,6.3,87.76,76.69,2.9,Yes,4,15.5,Bachelor,Medium,Yes,No,No,6.3,2.5,72.31,Average,Pass
5,Male,19,89.29,1.9,85.65,37.18,5.7,No,4,3.0,Master,Medium,No,No,No,6.1,1.9,62.69,Below Average,Pass
6,Female,18,42.47,4.4,52.66,30.83,5.3,No,7,3.5,High School,Low,Yes,No,No,7.7,3.4,45.75,At Risk,Fail
7,Male,17,80.22,8.5,83.56,39.78,3.3,No,2,2.0,Master,Medium,Yes,No,No,7.0,6.1,94.95,Excellent,Pass
8,Male,20,97.09,3.6,40.02,80.1,8.4,No,8,14.8,PhD,High,Yes,No,No,3.5,9.5,98.16,Excellent,Pass
9,Male,16,47.45,9.5,76.04,98.1,9.1,No,3,14.1,PhD,Low,No,Yes,Yes,3.3,3.7,106.18,Excellent,Pass
10,Female,17,93.77,5.6,74.91,98.81,8.0,No,4,19.7,Bachelor,Medium,No,Yes,No,5.2,3.7,83.64,Average,Pass
11,Male,19,75.69,4.4,31.79,64.58,2.8,No,4,10.4,Master,Low,Yes,Yes,No,7.6,5.3,76.58,Average,Pass
12,Male,23,77.0,5.7,85.16,90.85,1.8,Yes,5,16.5,PhD,High,Yes,No,Yes,1.8,9.3,114.54,Excellent,Pass
13,Male,16,76.78,4.2,93.23,81.58,6.4,No,1,11.5,Bachelor,Low,Yes,No,Yes,9.5,4.8,71.15,Average,Pass
14,Male,24,57.93,2.4,48.72,65.07,1.5,No,3,17.5,High School,High,Yes,No,No,5.9,3.0,43.28,At Risk,Fail
15,Female,22,96.11,2.3,86.87,70.09,7.1,Yes,2,14.4,High School,Medium,Yes,Yes,No,3.8,2.5,92.85,Excellent,Pass
16,Male,16,96.84,8.6,35.77,39.61,5.8,Yes,1,12.9,High School,Medium,Yes,No,Yes,7.2,5.1,77.69,Average,Pass
17,Female,19,77.52,7.9,72.0,95.64,7.0,No,2,11.3,Master,Medium,No,Yes,No,1.4,8.2,109.37,Excellent,Pass
18,Female,21,87.01,6.8,64.0,54.64,6.3,Yes,3,14.5,Bachelor,Low,Yes,Yes,No,5.4,3.6,91.11,Excellent,Pass
19,Female,22,76.74,4.2,68.21,61.23,4.8,No,7,8.4,Master,Medium,No,Yes,Yes,5.4,5.6,91.11,Excellent,Pass
20,Male,15,69.06,7.4,94.83,77.02,2.8,No,4,1.9,Master,Medium,Yes,No,Yes,2.5,6.4,90.91,Excellent,Pass
